entrezID	chromo	start	end	assembly	strand	symbol
115110	chr1	2481359	2484284	GRCh37.p13	-	LOC115110
100133445	chr1	2487208	2488450	GRCh37.p13	-	LOC100133445
8764	chr1	2487291	2495268	GRCh37.p13	+	TNFRSF14
100996583	chr1	2512999	2515972	GRCh37.p13	+	LOC100996583
127281	chr1	2517899	2522908	GRCh37.p13	+	FAM213B
79258	chr1	2522078	2564499	GRCh37.p13	-	MMEL1
100287898	chr1	2572807	2706230	GRCh37.p13	-	TTC34
101929067	chr1	2594829	2598393	GRCh37.p13	-	LOC101929067
140625	chr1	2938046	2939467	GRCh37.p13	+	ACTRT2
440556	chr1	2976181	2984289	GRCh37.p13	-	LINC00982
63976	chr1	2985565	3355185	GRCh37.p13	+	PRDM16
100420339	chr1	2986222	2987261	GRCh37.p13	+	LOC100420339
100422968	chr1	3044539	3044599	GRCh37.p13	+	MIR4251
27237	chr1	3371147	3397677	GRCh37.p13	+	ARHGEF16
1953	chr1	3404506	3528059	GRCh37.p13	-	MEGF6
693135	chr1	3477259	3477354	GRCh37.p13	-	MIR551A
127262	chr1	3541556	3546695	GRCh37.p13	+	TPRG1L
49856	chr1	3547331	3566671	GRCh37.p13	-	WRAP73
7161	chr1	3569129	3652765	GRCh37.p13	+	TP73
57212	chr1	3652177	3663937	GRCh37.p13	-	TP73-AS1
148870	chr1	3668965	3688209	GRCh37.p13	+	CCDC27
388588	chr1	3689352	3692546	GRCh37.p13	+	SMIM1
57470	chr1	3696784	3713068	GRCh37.p13	-	LRRC47
9731	chr1	3728645	3773797	GRCh37.p13	-	CEP104
1677	chr1	3773845	3801993	GRCh37.p13	+	DFFB
339448	chr1	3805697	3816857	GRCh37.p13	-	C1orf174
100133612	chr1	3816968	3832011	GRCh37.p13	+	LOC100133612
728716	chr1	4000672	4012643	GRCh37.p13	+	LOC728716
644357	chr1	4235523	4235959	GRCh37.p13	-	LOC644357
284661	chr1	4472111	4484744	GRCh37.p13	+	LOC284661
55966	chr1	4715105	4843851	GRCh37.p13	+	AJAP1
100616489	chr1	5624131	5624203	GRCh37.p13	+	MIR4417
100287877	chr1	5768231	5772255	GRCh37.p13	-	LOC100287877
100616421	chr1	5922732	5922801	GRCh37.p13	-	MIR4689
261734	chr1	5922870	6052618	GRCh37.p13	-	NPHP4
8514	chr1	6052358	6161253	GRCh37.p13	+	KCNAB2
26038	chr1	6161847	6240194	GRCh37.p13	-	CHD5
101928723	chr1	6161847	6165323	GRCh37.p13	-	LOC101928723
6146	chr1	6245080	6259679	GRCh37.p13	-	RPL22
388591	chr1	6266189	6281359	GRCh37.p13	+	RNF207
23463	chr1	6281253	6296044	GRCh37.p13	-	ICMT
148645	chr1	6296300	6299504	GRCh37.p13	+	LINC00337
390992	chr1	6304252	6305638	GRCh37.p13	+	HES3
387509	chr1	6307406	6321035	GRCh37.p13	-	GPR153
11332	chr1	6324332	6453826	GRCh37.p13	-	ACOT7
54626	chr1	6475292	6484724	GRCh37.p13	-	HES2
83715	chr1	6484836	6521004	GRCh37.p13	+	ESPN
100422975	chr1	6489894	6489956	GRCh37.p13	-	MIR4252
8718	chr1	6520787	6527432	GRCh37.p13	-	TNFRSF25
57449	chr1	6526152	6580121	GRCh37.p13	-	PLEKHG5
79707	chr1	6581407	6614658	GRCh37.p13	-	NOL9
80835	chr1	6614987	6639817	GRCh37.p13	+	TAS1R1
3104	chr1	6640051	6649340	GRCh37.p13	+	ZBTB48
9903	chr1	6650784	6662958	GRCh37.p13	-	KLHL21
148479	chr1	6673756	6684093	GRCh37.p13	+	PHF13
90326	chr1	6684925	6695646	GRCh37.p13	+	THAP3
55735	chr1	6694228	6761966	GRCh37.p13	-	DNAJC11
100505887	chr1	6787587	6790053	GRCh37.p13	+	LOC100505887
100996592	chr1	6843952	6845040	GRCh37.p13	-	LOC100996592
23261	chr1	6845384	7829766	GRCh37.p13	+	CAMTA1
100270828	chr1	6894388	6894660	GRCh37.p13	-	RPL37P9
100129476	chr1	7110002	7111831	GRCh37.p13	-	LOC100129476
101928836	chr1	7500884	7501574	GRCh37.p13	-	LOC101928836
101928811	chr1	7677477	7680682	GRCh37.p13	-	LOC101928811
9341	chr1	7831329	7841492	GRCh37.p13	+	VAMP3
8863	chr1	7844413	7905241	GRCh37.p13	+	PER3
10911	chr1	7907672	7913551	GRCh37.p13	-	UTS2
3604	chr1	7975931	8003225	GRCh37.p13	-	TNFRSF9
11315	chr1	8021714	8045342	GRCh37.p13	+	PARK7
54206	chr1	8071779	8086393	GRCh37.p13	-	ERRFI1
390993	chr1	8117241	8118547	GRCh37.p13	-	RPL7AP18
100129776	chr1	8249886	8252833	GRCh37.p13	+	LOC100129776
50651	chr1	8378171	8404227	GRCh37.p13	+	SLC45A1
473	chr1	8412464	8877699	GRCh37.p13	-	RERE
100270823	chr1	8810469	8811150	GRCh37.p13	+	RPL7P11
644896	chr1	8846188	8847010	GRCh37.p13	-	RPL7P7
100128662	chr1	8858497	8859616	GRCh37.p13	+	RPL27P3
100131143	chr1	8891066	8891437	GRCh37.p13	+	RPL23AP19
2023	chr1	8921059	8939151	GRCh37.p13	-	ENO1
100505975	chr1	8938894	8939944	GRCh37.p13	+	ENO1-AS1
100113373	chr1	8953470	8954662	GRCh37.p13	+	HMGN2P17
765	chr1	9005893	9035151	GRCh37.p13	+	CA6
155184	chr1	9063359	9086404	GRCh37.p13	-	SLC2A7
6518	chr1	9097005	9131763	GRCh37.p13	-	SLC2A5
80045	chr1	9163472	9189229	GRCh37.p13	-	GPR157
407040	chr1	9211727	9211836	GRCh37.p13	-	MIR34A
9563	chr1	9294822	9331396	GRCh37.p13	+	H6PD
80176	chr1	9335202	9429591	GRCh37.p13	+	SPSB1
100506022	chr1	9486258	9489055	GRCh37.p13	-	LOC100506022
84275	chr1	9599528	9642831	GRCh37.p13	+	SLC25A33
642740	chr1	9636463	9637139	GRCh37.p13	+	RPL9P11
199953	chr1	9648932	9674935	GRCh37.p13	+	TMEM201
5293	chr1	9711789	9789172	GRCh37.p13	+	PIK3CD
644997	chr1	9712668	9714644	GRCh37.p13	-	C1orf200
100270883	chr1	9722346	9722686	GRCh37.p13	-	RPL26P7
101929074	chr1	9740903	9747627	GRCh37.p13	-	LOC101929074
22883	chr1	9789079	9884550	GRCh37.p13	-	CLSTN1
56998	chr1	9908334	9970316	GRCh37.p13	-	CTNNBIP1
84328	chr1	9982168	10003460	GRCh37.p13	-	LZIC
64802	chr1	10003486	10045556	GRCh37.p13	+	NMNAT1
100847055	chr1	10027439	10027516	GRCh37.p13	+	MIR5697
116362	chr1	10057255	10076078	GRCh37.p13	+	RBP7
10277	chr1	10093041	10241297	GRCh37.p13	+	UBE4B
100270877	chr1	10114498	10114840	GRCh37.p13	-	RPL21P21
100420660	chr1	10118731	10119712	GRCh37.p13	+	PGAM1P11
23095	chr1	10270606	10441664	GRCh37.p13	+	KIF1B
100422970	chr1	10287776	10287861	GRCh37.p13	+	MIR1273D
5226	chr1	10458884	10480565	GRCh37.p13	+	PGD
378708	chr1	10489944	10510239	GRCh37.p13	+	APITD1
100526739	chr1	10490159	10512060	GRCh37.p13	+	APITD1-CORT
1325	chr1	10509776	10512060	GRCh37.p13	+	CORT
1676	chr1	10520588	10532613	GRCh37.p13	-	DFFA
5195	chr1	10535003	10690815	GRCh37.p13	+	PEX14
54897	chr1	10696661	10856733	GRCh37.p13	-	CASZ1
148345	chr1	11006530	11042094	GRCh37.p13	-	C1orf127
390996	chr1	11045887	11051854	GRCh37.p13	-	CFL1P6
23435	chr1	11072462	11085549	GRCh37.p13	+	TARDBP
10747	chr1	11086580	11107296	GRCh37.p13	-	MASP2
6723	chr1	11114649	11120091	GRCh37.p13	-	SRM
5394	chr1	11126675	11159961	GRCh37.p13	-	EXOSC10
101929158	chr1	11128149	11132267	GRCh37.p13	+	LOC101929158
101929136	chr1	11159584	11162157	GRCh37.p13	+	LOC101929136
2475	chr1	11166588	11322614	GRCh37.p13	-	MTOR
100873935	chr1	11203955	11209595	GRCh37.p13	+	MTOR-AS1
10218	chr1	11249346	11256038	GRCh37.p13	+	ANGPTL7
100270891	chr1	11292967	11293367	GRCh37.p13	+	RPL39P6
29914	chr1	11333255	11348491	GRCh37.p13	+	UBIAD1
100421341	chr1	11338671	11339333	GRCh37.p13	-	UBE2V2P3
57540	chr1	11539295	11597640	GRCh37.p13	+	PTCHD2
101929181	chr1	11669588	11673412	GRCh37.p13	+	LOC101929181
26232	chr1	11707924	11714888	GRCh37.p13	-	FBXO2
93611	chr1	11714432	11723384	GRCh37.p13	+	FBXO44
26270	chr1	11724150	11734411	GRCh37.p13	+	FBXO6
10459	chr1	11734537	11751678	GRCh37.p13	-	MAD2L2
374946	chr1	11751781	11780336	GRCh37.p13	+	DRAXIN
57085	chr1	11796142	11810828	GRCh37.p13	+	AGTRAP
101060126	chr1	11821436	11822378	GRCh37.p13	-	LOC101060126
284498	chr1	11823827	11849642	GRCh37.p13	+	C1orf167
4524	chr1	11845787	11866160	GRCh37.p13	-	MTHFR
1185	chr1	11866153	11903201	GRCh37.p13	+	CLCN6
100379251	chr1	11900376	11907673	GRCh37.p13	+	NPPA-AS1
4878	chr1	11905766	11907840	GRCh37.p13	-	NPPA
4879	chr1	11917521	11918992	GRCh37.p13	-	NPPB
390997	chr1	11937826	11940815	GRCh37.p13	+	LOC390997
26829	chr1	11968211	11968329	GRCh37.p13	+	RNU5E-1
100873829	chr1	11969865	11969984	GRCh37.p13	-	RNU5E-4P
90231	chr1	11979645	11986485	GRCh37.p13	-	KIAA2013
5351	chr1	11994724	12035599	GRCh37.p13	+	PLOD1
9927	chr1	12040238	12073572	GRCh37.p13	+	MFN2
60672	chr1	12079299	12092106	GRCh37.p13	+	MIIP
943	chr1	12123434	12204264	GRCh37.p13	+	TNFRSF8
7133	chr1	12227044	12269279	GRCh37.p13	+	TNFRSF1B
100616438	chr1	12251762	12251839	GRCh37.p13	+	MIR4632
390998	chr1	12280784	12281164	GRCh37.p13	-	LOC390998
55187	chr1	12290101	12572099	GRCh37.p13	+	VPS13D
677885	chr1	12567300	12567451	GRCh37.p13	+	SNORA59A
9249	chr1	12627939	12677820	GRCh37.p13	-	DHRS3
343066	chr1	12704566	12727097	GRCh37.p13	+	AADACL4
126767	chr1	12776118	12788726	GRCh37.p13	+	AADACL3
93190	chr1	12806163	12821102	GRCh37.p13	+	C1orf158
390999	chr1	12834984	12838049	GRCh37.p13	+	PRAMEF12
65121	chr1	12851546	12856777	GRCh37.p13	+	PRAMEF1
440560	chr1	12884468	12891264	GRCh37.p13	-	PRAMEF11
441870	chr1	12898323	12901236	GRCh37.p13	-	LOC441870
343069	chr1	12907261	12908578	GRCh37.p13	-	HNRNPCL1
65122	chr1	12916941	12921764	GRCh37.p13	+	PRAMEF2
400735	chr1	12939033	12946025	GRCh37.p13	-	PRAMEF4
343071	chr1	12952727	12958094	GRCh37.p13	-	PRAMEF10
441871	chr1	12976467	12980300	GRCh37.p13	+	PRAMEF7
729356	chr1	12985990	12988207	GRCh37.p13	+	LOC729356
440561	chr1	12998302	13007406	GRCh37.p13	-	PRAMEF6
100129611	chr1	13012832	13015785	GRCh37.p13	-	LOC100129611
653606	chr1	13035543	13038381	GRCh37.p13	+	PRAMEF22
729368	chr1	13108838	13112680	GRCh37.p13	-	PRAMEF23
100132865	chr1	13123163	13126116	GRCh37.p13	-	LOC100132865
441873	chr1	13140447	13145000	GRCh37.p13	+	PRAMEF25
649324	chr1	13162648	13165443	GRCh37.p13	-	LOC649324
100419649	chr1	13171872	13173131	GRCh37.p13	-	LOC100419649
440563	chr1	13182960	13184326	GRCh37.p13	-	HNRNPCP5
645354	chr1	13196270	13199064	GRCh37.p13	+	LOC645354
645359	chr1	13216688	13219898	GRCh37.p13	-	LOC645359
401940	chr1	13328196	13331692	GRCh37.p13	-	PRAMEF3
100132443	chr1	13351452	13354407	GRCh37.p13	+	LOC100132443
343068	chr1	13359819	13369057	GRCh37.p13	+	PRAMEF5
650236	chr1	13379020	13381237	GRCh37.p13	-	LOC650236
391002	chr1	13386646	13390765	GRCh37.p13	-	PRAMEF8
645382	chr1	13411517	13414502	GRCh37.p13	+	LOC645382
343070	chr1	13421176	13428191	GRCh37.p13	+	PRAMEF9
400736	chr1	13447414	13452656	GRCh37.p13	-	PRAMEF13
391003	chr1	13474053	13477569	GRCh37.p13	-	PRAMEF18
654348	chr1	13495254	13498260	GRCh37.p13	+	PRAMEF16
391001	chr1	13521963	13526943	GRCh37.p13	+	PRAMEF21
729516	chr1	13607700	13610549	GRCh37.p13	-	PRAMEF24
645399	chr1	13632314	13635299	GRCh37.p13	+	LOC645399
653619	chr1	13641973	13648987	GRCh37.p13	+	PRAMEF15
729528	chr1	13668269	13673511	GRCh37.p13	-	PRAMEF14
645414	chr1	13694889	13698405	GRCh37.p13	-	PRAMEF19
391004	chr1	13716088	13719064	GRCh37.p13	+	PRAMEF17
645425	chr1	13736907	13747803	GRCh37.p13	+	PRAMEF20
126755	chr1	13801445	13840242	GRCh37.p13	-	LRRC38
10630	chr1	13910252	13944452	GRCh37.p13	+	PDPN
100873280	chr1	13949679	13949779	GRCh37.p13	-	RNA5SP41
7799	chr1	14026714	14151574	GRCh37.p13	+	PRDM2
23254	chr1	14219646	15444544	GRCh37.p13	+	KAZN
494541	chr1	15018424	15018891	GRCh37.p13	-	TBCAP2
200197	chr1	15438311	15478960	GRCh37.p13	-	TMEM51-AS1
55092	chr1	15479028	15546974	GRCh37.p13	+	TMEM51
727684	chr1	15490692	15498120	GRCh37.p13	-	C1orf195
100420251	chr1	15518242	15519623	GRCh37.p13	-	LOC100420251
100421184	chr1	15552860	15553739	GRCh37.p13	+	LOC100421184
114827	chr1	15573730	15724767	GRCh37.p13	+	FHAD1
101927417	chr1	15655239	15670372	GRCh37.p13	-	LOC101927417
101927441	chr1	15732243	15737542	GRCh37.p13	-	LOC101927441
79180	chr1	15736391	15756839	GRCh37.p13	+	EFHD2
11330	chr1	15764938	15773153	GRCh37.p13	+	CTRC
63036	chr1	15783223	15798586	GRCh37.p13	+	CELA2A
51032	chr1	15802596	15817895	GRCh37.p13	+	CELA2B
842	chr1	15817896	15851407	GRCh37.p13	-	CASP9
101928486	chr1	15850705	15851287	GRCh37.p13	+	LOC101928486
23341	chr1	15853343	15898228	GRCh37.p13	+	DNAJC16
79814	chr1	15898194	15911605	GRCh37.p13	-	AGMAT
645317	chr1	15931023	15931813	GRCh37.p13	+	CHCHD2P6
935	chr1	15936477	15941441	GRCh37.p13	-	CD24P1
84301	chr1	15943953	15995539	GRCh37.p13	+	DDI2
6248	chr1	15986364	15988217	GRCh37.p13	+	RSC1A1
23207	chr1	16010632	16061264	GRCh37.p13	+	PLEKHM2
284723	chr1	16062721	16067884	GRCh37.p13	+	SLC25A34
388595	chr1	16068987	16074292	GRCh37.p13	+	TMEM82
54751	chr1	16083107	16113089	GRCh37.p13	+	FBLIM1
729500	chr1	16119222	16119841	GRCh37.p13	+	RPL12P14
440567	chr1	16133657	16134194	GRCh37.p13	-	UQCRHL
441876	chr1	16154707	16155228	GRCh37.p13	+	RPS16P1
729614	chr1	16160710	16174642	GRCh37.p13	-	FLJ37453
23013	chr1	16174359	16266951	GRCh37.p13	+	SPEN
7709	chr1	16268364	16302627	GRCh37.p13	-	ZBTB17
101928531	chr1	16295972	16296734	GRCh37.p13	+	LOC101928531
101928566	chr1	16302626	16323701	GRCh37.p13	+	LOC101928566
149563	chr1	16330731	16333184	GRCh37.p13	+	C1orf64
27129	chr1	16340523	16346084	GRCh37.p13	-	HSPB7
1187	chr1	16348486	16360548	GRCh37.p13	+	CLCNKA
440568	chr1	16361005	16366526	GRCh37.p13	-	LOC440568
1188	chr1	16370231	16383821	GRCh37.p13	+	CLCNKB
348487	chr1	16384264	16400127	GRCh37.p13	-	FAM131C
1969	chr1	16450832	16482582	GRCh37.p13	-	EPHA2
101927479	chr1	16481724	16483824	GRCh37.p13	+	LOC101927479
128272	chr1	16524599	16539104	GRCh37.p13	-	ARHGEF19
101927507	chr1	16542402	16544619	GRCh37.p13	-	LOC101927507
101927546	chr1	16551343	16553528	GRCh37.p13	-	LOC101927546
79363	chr1	16558182	16563659	GRCh37.p13	-	RSG1
645652	chr1	16567711	16567893	GRCh37.p13	-	MT1XP1
54455	chr1	16573339	16678965	GRCh37.p13	-	FBXO42
26099	chr1	16693525	16724643	GRCh37.p13	+	SZRD1
729662	chr1	16695588	16696046	GRCh37.p13	-	RPL22P3
374955	chr1	16722101	16763919	GRCh37.p13	-	SPATA21
55707	chr1	16767167	16786585	GRCh37.p13	+	NECAP2
114819	chr1	16793931	16819196	GRCh37.p13	-	CROCCP3
26871	chr1	16840617	16840780	GRCh37.p13	-	RNU1-1
100126512	chr1	16847080	16847153	GRCh37.p13	-	TRNAN-GUU
100132147	chr1	16860691	16862580	GRCh37.p13	-	LOC100132147
100126517	chr1	16861774	16861845	GRCh37.p13	-	TRNAE-UUC
100133301	chr1	16865561	16866198	GRCh37.p13	+	LOC100133301
7195	chr1	16872434	16872504	GRCh37.p13	-	TRNAG1
100189486	chr1	16874160	16874232	GRCh37.p13	-	TRNAG36
100421267	chr1	16875147	16877725	GRCh37.p13	-	LOC100421267
101056699	chr1	16879957	16880028	GRCh37.p13	+	TRNAQ49P
55672	chr1	16888922	16940100	GRCh37.p13	-	NBPF1
84809	chr1	16944751	16957401	GRCh37.p13	-	CROCCP2
101927663	chr1	16961646	16971553	GRCh37.p13	-	LOC101927663
11209	chr1	16972069	16976915	GRCh37.p13	+	MST1P2
101927639	chr1	16991954	16996609	GRCh37.p13	+	LOC101927639
26869	chr1	16993280	16993443	GRCh37.p13	-	RNU1-3
729574	chr1	16999498	17000007	GRCh37.p13	+	LOC729574
100126533	chr1	17004766	17004836	GRCh37.p13	-	TRNAG-CCC
280661	chr1	17009586	17012744	GRCh37.p13	-	EIF1AXP1
284729	chr1	17017713	17046652	GRCh37.p13	-	ESPNP
100189500	chr1	17052061	17052133	GRCh37.p13	+	TRNAV36P
100189045	chr1	17053780	17053850	GRCh37.p13	+	TRNAG10
729587	chr1	17060447	17060956	GRCh37.p13	-	LOC729587
101927778	chr1	17063845	17068500	GRCh37.p13	-	LOC101927778
101927753	chr1	17066648	17079298	GRCh37.p13	+	LOC101927753
6060	chr1	17067011	17067174	GRCh37.p13	+	RNU1-4
100421113	chr1	17076722	17077459	GRCh37.p13	+	CROCCP4
11223	chr1	17081129	17090975	GRCh37.p13	-	MST1L
100421279	chr1	17183206	17185778	GRCh37.p13	+	LOC100421279
100500876	chr1	17185444	17185516	GRCh37.p13	-	MIR3675
100189479	chr1	17186693	17186765	GRCh37.p13	+	TRNAV34P
100189298	chr1	17188416	17188486	GRCh37.p13	+	TRNAG28
100132070	chr1	17194858	17195363	GRCh37.p13	-	LOC100132070
101927806	chr1	17197577	17200231	GRCh37.p13	+	LOC101927806
7193	chr1	17199078	17199149	GRCh37.p13	+	TRNAE1
100189183	chr1	17201958	17202031	GRCh37.p13	+	TRNAN18
101928613	chr1	17215033	17222476	GRCh37.p13	-	LOC101928613
791226	chr1	17216172	17216245	GRCh37.p13	+	TRNAN2
26870	chr1	17222475	17222638	GRCh37.p13	+	RNU1-2
9696	chr1	17248445	17299474	GRCh37.p13	+	CROCC
4237	chr1	17300997	17308081	GRCh37.p13	-	MFAP2
23400	chr1	17312453	17338467	GRCh37.p13	-	ATP13A2
6390	chr1	17345217	17380665	GRCh37.p13	-	SDHB
11240	chr1	17393256	17445948	GRCh37.p13	-	PADI2
400743	chr1	17520821	17521393	GRCh37.p13	+	LOC400743
29943	chr1	17531621	17572501	GRCh37.p13	+	PADI1
51702	chr1	17575593	17610728	GRCh37.p13	+	PADI3
100616188	chr1	17604384	17604470	GRCh37.p13	+	MIR3972
23569	chr1	17634690	17690495	GRCh37.p13	+	PADI4
353238	chr1	17698741	17728195	GRCh37.p13	+	PADI6
55920	chr1	17733251	17766250	GRCh37.p13	-	RCC2
55160	chr1	17846693	18024370	GRCh37.p13	+	ARHGEF10L
81569	chr1	18081808	18153558	GRCh37.p13	+	ACTL8
101927876	chr1	18392151	18400906	GRCh37.p13	+	LOC101927876
84966	chr1	18434240	18704977	GRCh37.p13	+	IGSF21
127707	chr1	18807424	18812540	GRCh37.p13	+	KLHDC7A
391012	chr1	18839519	18839889	GRCh37.p13	+	LOC391012
5081	chr1	18957500	19075360	GRCh37.p13	+	PAX7
80834	chr1	19166093	19186155	GRCh37.p13	-	TAS1R2
8659	chr1	19197924	19229293	GRCh37.p13	-	ALDH4A1
100616120	chr1	19209696	19209769	GRCh37.p13	-	MIR4695
100302276	chr1	19223565	19223642	GRCh37.p13	-	MIR1290
